      x         r        z        B_phi      B_r     B_z
     0.00      0.00    -79.00      0.00      0.00  46884.00
     0.00      0.00    -78.50      0.00      0.00  46859.00
     0.00      0.00    -78.00      0.00      0.00  46784.00
     0.00      0.00    -77.50      0.00      0.00  46660.00
     0.00      0.00    -77.00      0.00      0.00  46486.00
     0.00      0.00    -76.50      0.00      0.00  46263.00
     0.00      0.00    -76.00      0.00      0.00  45993.00
     0.00      0.00    -75.50      0.00      0.00  45676.00
     0.00      0.00    -75.00      0.00      0.00  45314.00
     0.00      0.00    -74.50      0.00      0.00  44909.00
     0.00      0.00    -74.00      0.00      0.00  44461.00
     0.00      0.00    -73.50      0.00      0.00  43972.00
     0.00      0.00    -73.00      0.00      0.00  43445.00
     0.00      0.00    -72.50      0.00      0.00  42882.00
     0.00      0.00    -72.00      0.00      0.00  42284.00
     0.00      0.00    -71.50      0.00      0.00  41654.00
     0.00      0.00    -71.00      0.00      0.00  40995.00
     0.00      0.00    -70.50      0.00      0.00  40309.00
     0.00      0.00    -70.00      0.00      0.00  39598.00
     0.00      0.00    -69.50      0.00      0.00  38864.00
     0.00      0.00    -69.00      0.00      0.00  38111.00
     0.00      0.50    -79.00      0.00      0.00  46897.00
     0.00      0.50    -78.50      0.00     25.06  46872.00
     0.00      0.50    -78.00      0.00     50.02  46797.00
     0.00      0.50    -77.50      0.00     74.78  46672.00
     0.00      0.50    -77.00      0.00     99.23  46498.00
     0.00      0.50    -76.50      0.00    123.30  46275.00
     0.00      0.50    -76.00      0.00    146.86  46005.00
     0.00      0.50    -75.50      0.00    169.84  45688.00
     0.00      0.50    -75.00      0.00    192.14  45325.00
     0.00      0.50    -74.50      0.00    213.68  44919.00
     0.00      0.50    -74.00      0.00    234.37  44471.00
     0.00      0.50    -73.50      0.00    254.13  43982.00
     0.00      0.50    -73.00      0.00    272.90  43454.00
     0.00      0.50    -72.50      0.00    290.60  42890.00
     0.00      0.50    -72.00      0.00    307.19  42292.00
     0.00      0.50    -71.50      0.00    322.61  41662.00
     0.00      0.50    -71.00      0.00    336.81  41002.00
     0.00      0.50    -70.50      0.00    349.78  40315.00
     0.00      0.50    -70.00      0.00    361.48  39603.00
     0.00      0.50    -69.50      0.00    371.91  38869.00
     0.00      0.50    -69.00      0.00    381.05  38116.00
     0.00      1.00    -79.00      0.00      0.00  46935.00
     0.00      1.00    -78.50      0.00     50.19  46909.00
     0.00      1.00    -78.00      0.00    100.19  46834.00
     0.00      1.00    -77.50      0.00    149.78  46709.00
     0.00      1.00    -77.00      0.00    198.77  46534.00
     0.00      1.00    -76.50      0.00    246.96  46311.00
     0.00      1.00    -76.00      0.00    294.17  46040.00
     0.00      1.00    -75.50      0.00    340.19  45722.00
     0.00      1.00    -75.00      0.00    384.86  45358.00
     0.00      1.00    -74.50      0.00    428.00  44951.00
     0.00      1.00    -74.00      0.00    469.43  44501.00
     0.00      1.00    -73.50      0.00    509.01  44011.00
     0.00      1.00    -73.00      0.00    546.59  43482.00
     0.00      1.00    -72.50      0.00    582.05  42916.00
     0.00      1.00    -72.00      0.00    615.26  42316.00
     0.00      1.00    -71.50      0.00    646.12  41684.00
     0.00      1.00    -71.00      0.00    674.56  41022.00
     0.00      1.00    -70.50      0.00    700.51  40333.00
     0.00      1.00    -70.00      0.00    723.92  39620.00
     0.00      1.00    -69.50      0.00    744.77  38884.00
     0.00      1.00    -69.00      0.00    763.06  38128.00
     0.00      1.50    -79.00      0.00      0.00  46997.00
     0.00      1.50    -78.50      0.00     75.48  46972.00
     0.00      1.50    -78.00      0.00    150.66  46896.00
     0.00      1.50    -77.50      0.00    225.23  46771.00
     0.00      1.50    -77.00      0.00    298.90  46595.00
     0.00      1.50    -76.50      0.00    371.37  46370.00
